,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Caribbean,Caribbean,LOC,0.01923077,0.28205128,en,1.30000000,,0,,,,,,
the Taklamakan Desert,the Taklamakan Desert,LOC,0.23076923,0.38461538,en,1.30000000,,0,,,,,,
Nova,Nova,LOC,-0.38461538,0.51282051,en,1.30000000,4306185-0,3194452,P,45.95604000,13.64837000,EUROPE,Slovenia,WCE
Kilimanjaro,Kilimanjaro,LOC,0.00000000,0.00000000,en,1.30000000,4030530-2,157452,T,-3.07583000,37.35333000,AFRICA,Tanzania,SEAF
Alcácer,Alcácer,GPE,0.00000000,0.00000000,en,1.30000000,,2272212,P,38.37326000,-8.51444000,EUROPE-AFRICA,Portugal,MED
Salvador,Salvador,GPE,-0.20673077,0.65384615,en,1.30000000,2061637-5,3450554,P,-12.97563000,-38.49096000,SOUTH-AMERICA,Brazil,NES
Hollywood,Hollywood,GPE,0.28846154,0.28846154,en,1.30000000,4408912-0,4158928,P,26.01120000,-80.14949000,NORTH-AMERICA,United States,ENA
South Korea,South Korea,GPE,0.46153846,0.48717949,en,1.30000000,4078029-6,1835841,A,36.50000000,127.75000000,ASIA,South Korea,EAS
Syria,Syria,GPE,0.10897436,0.17948718,en,1.30000000,4058794-0,163843,A,35.00000000,38.00000000,EUROPE-AFRICA,Syria,MED
Vila,Vila,GPE,0.06025641,0.31153846,en,1.30000000,4301367-3,2135171,P,-17.73648000,168.31366000,PACIFIC,Vanuatu,SPO
Madrid,Madrid,GPE,0.04461538,0.77076923,en,1.30000000,4036862-2,3117735,P,40.41650000,-3.70256000,EUROPE-AFRICA,Spain,MED
Pará,Pará,GPE,0.00000000,0.00000000,en,1.30000000,4208294-8,3405870,P,-1.45583000,-48.50444000,SOUTH-AMERICA,Brazil,NES
Virginia,Virginia,GPE,0.24358974,0.66666667,en,1.30000000,4376528-2,4801859,P,38.34982000,-81.63262000,NORTH-AMERICA,United States,ENA
